Timestamp,Your Gender,Your Sexual Orientation,Your age,What country are You from?,How often do You play computer games,And for how long do Your gaming sessions usually last,Your favourite video game genre,Your favourite game(May write several),What other interests do You hold(You can choose multiple and write any others in Other),Your overall view on seeing sexual themes in the game(What is you reaction on seeing sexual themes in a game),Your view on sexualisation of the character design(Your reaction on seeing (overly)sexual character design),Any specific things that you usually LIKE in character designs,Any specific things that you usually DISLIKE in character designs,Your view on sexual sub-context in video games- themes around sex and similar,"If you dislike the (over)use of sexual sub-content, would you be okay if it's explained logically, tied to the story(And-Or if it exists for more reasons than just for marketing and-or similar)",Are you okay with LGBT+ characters in video games,Anything to add to the theme? Your personal thoughts. 
04/01/2021 19:36:20,Male,Bisexual,16-20,Brazil,Every day,5-8 hours,Adventure,"Dishonored 2, Team Fortress 2",Films and TV series,Neutral,5,When the character designed is informed by the character's history and current situation,"when the character design is too obnoxious, bright or distracting from the rest of the game",5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",I think anything can work as long as it's well written 
04/01/2021 19:37:38,Male,Heterosexual,21-26,USA,Every day,5-8 hours,Singleplayer RPGs,"Nier:Automata, Grim Dawn","Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Japanese(Or similar) Light Novels",Mostly positive,6,Rule of cool and having it make sense in the setting,Immersion breaking stuff,6,Yes,"Yes, but as long as they are there because that's ""Who they are"" and aren't trying to just be tokens",
04/01/2021 19:38:23,Male,Heterosexual,21-26,ireland,Every day,9-12 hours,Multiplayer RPGs,CS;GO FFXIV,"Tabletop RPGs(D&D and similar), Anime, Japanese(Or similar) Light Novels, making music ",Neutral,4,having more contole of char creation wuld be best,no,4,,"Yes, in any way they appear there",
04/01/2021 19:39:50,Female,Bisexual,16-20,USA,Once- or twice a week,0-4 hours,Simulators,"untitled goose game, hatsune miku project diva","Books(Non asian), Anime, Art",Neutral,3,,,6,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 19:51:12,nonbinary,Bisexual,16-20,USA,Several times a week,0-4 hours,Singleplayer RPGs,FTL: Faster Than Light,"Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,2,,,4,Yes,"Yes, in any way they appear there",
04/01/2021 19:51:19,Male,Bisexual,21-26,Poland,Once- or twice a week,0-4 hours,Singleplayer RPGs,Tsukihime,"Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,2,,,4,Yes,"Yes, in any way they appear there",
04/01/2021 19:53:20,Male,Heterosexual,21-26,Canada,Every day,0-4 hours,Strategy,Dead Cells,"Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,6,No specific likes or dislikes,No specific likes or dislikes,4,Choosing this one because I chose 4,"Yes, in any way they appear there",
04/01/2021 19:53:32,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Strategy,"Endless Legend, Total War: Warhammer","Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,4,"Design aspects that make sense for a character (i.e., outfits that make sense for where they're from/where they are - especially if an RPG/similar changes a character's outfit in a certain area, e.g. Zelda wearing winter clothes for one of the Teba Mountains story missions in Age of Calamity)",Unnecessary skimpiness,3,Yes,"Yes, in any way they appear there",
04/01/2021 19:54:10,Male,Heterosexual,21-26,france,Every day,0-4 hours,all of the above,minecraft stellaris honkai impact civilization 5,"Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,5,white hair,green hair,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 19:56:40,Male,Heterosexual,16-20,Canada,"Once or twice a week normally, up to 7 on vacation",5-8 hours,Singleplayer RPGs,"Skyrim, Stellaris","Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,2,Functional/cool armour. See Skyrim’s ebony set,Boob windows,5,Maybe,"Yes, in any way they appear there",
04/01/2021 19:56:43,Male,Homosexual,21-26,USA,Several times a week,0-4 hours,Singleplayer RPGs,Dragon Age Inquisition ,Books(Non asian),Mostly positive,4,"functional clothes, not hypersexualized",hypersexualozed,4,Yes,"Yes, in any way they appear there",
04/01/2021 19:58:42,Male,Heterosexual,More than 35,Poland,Several times a week,0-4 hours,Singleplayer RPGs,Final fantasy series,"Electronics, programming",Mostly positive,7,Natural look,,7,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 19:58:50,Female,Bisexual,21-26,USA,Every day,0-4 hours,Singleplayer RPGs,"Animal crossing, stardew valley, Mario party, sims 4","Tabletop games(just the basic ones), Films and TV series",Mostly positive,6,Realistic bodies,“Anime titties”,5,Maybe,"Yes, in any way they appear there","As a queer woman I am happy to see more LGBTQ+ representation in games. But, I do not like it when it is clearly a diversity ploy, or queer baiting (obviously hinting they are gay, without allowing any romantic/sexual relationships or even canonically mentioning they are not straight/cisgender/etc)"
04/01/2021 19:59:01,Male,Heterosexual,21-26,México,Every day,5-8 hours,Singleplayer RPGs,The Legend of Zelda,"Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,4,Clothes design,,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 19:59:21,Male,Pansexual,21-26,Germany,Every day,5-8 hours,Multiplayer RPGs,"Guild Wars 2, Arknights, CSGO, Dota 2, Starcraft 2, Rust, Zelda: Ocarina of Time","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,6,Creative outfits and fashion,huge cowtits and overblown proportions in a significant amount of the characters,6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 19:59:46,Female,Homosexual,16-20,France,Every day,0-4 hours,Multiplayer RPGs,"Final Fantasy XIV, Ensemble Stars and Disney Twisted Wonderland","Books(Non asian), Films and TV series, Anime, Manga",Sometimes negative,3,Colors,Lolis,3,Maybe,"Yes, in any way they appear there",Nothint but i like your survey
04/01/2021 20:00:16,Male,Heterosexual,27-35,Chile,Every day,5-8 hours,Adventure,Dark Souls,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Sometimes negative,2,"Character design should fit the character's personality, not sexuality. I like seeing strong female characters, I like detailed backgrounds/origin stories, I like seeing flawed characters who work to overcome their flaws and grow.",I dislike clichés. I dislike characters who's only purpose is to fill out spots for the plot to move forward. I dislike Mary Sue characters. I dislike one-dimensional characters who have just one trait or feature that identifies them.,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:01:10,Male,Heterosexual,16-20,USA,Several times a week,0-4 hours,Singleplayer RPGs,"Super Mario 63, Gamerias","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Sleeping",Sometimes positive,4,,,4,,"No, but can ignore",
04/01/2021 20:02:45,Male,Homosexual,More than 35,England,Several times a week,5-8 hours,Multiplayer RPGs,"FFXIV, WoW, Cyberpunk, RDR2","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Neutral,2,Choice,Over sexualized / revealing gear/equipment,4,Yes,"Yes, in any way they appear there",
04/01/2021 20:03:39,Male,Bisexual,27-35,Sweden,Several times a week,0-4 hours,Strategy,"Civilization V, Rimworld, Hearthstone","Books(Non asian), Films and TV series",Neutral,3,"Should fit well into the world, lore and personal backstory.

Square-Enix makes some really good character designs. Not sure why, I just like the aesthetic.",Lack of originality and personality,6,Yes,"Yes, in any way they appear there",
04/01/2021 20:03:57,Male,Heterosexual,27-35,Canada,Rarely,0-4 hours,Adventure,BoTW,"Films and TV series, Sports",Absolutely positive,6,A good butt,Bikini armor in games that try to be realistic,7,Yes,"Yes, in any way they appear there",
04/01/2021 20:06:24,Male,Heterosexual,21-26,Germany,Every day,5-8 hours,Simulators,Dota2,"Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Mostly positive,3,Depth,flat characters with no personality,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:08:05,Male,Bisexual,21-26,Russia,Several times a week,5-8 hours,Multiplayer RPGs,FFXIV,"Books(Non asian), Tabletop RPGs(D&D and similar)",Sometimes positive,3,huge honkers n ass on male characters,no ass,6,theres no such thing as logical explanation for oversexualization because its all made up and characters could be designed in any way and that means that all sexualisation is for pandering or because designers were horny,"Yes, in any way they appear there",all sexualisation is for marketing reasons but its okay in some cases because it has a right to exist
04/01/2021 20:08:06,Female,Heterosexual,27-35,Czech Republic ,Several times a week,0-4 hours,Simulators,"The Sims, Stardew Valley, GTA V","Books(Non asian), Films and TV series, Listening to podcasts ",Neutral,3,Realistic anatomy,Ridiculous anatomy used for sexualisation purposes,5,Yes,"Yes, in any way they appear there",
04/01/2021 20:10:30,Male,Heterosexual,16-20,France,Several times a week,0-4 hours,Singleplayer RPGs,Fallout New Vegas,"Books(Non asian), Films and TV series, Manga",Mostly positive,4,,,6,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:10:33,Male,Heterosexual,Younger than 16,USA,Several times a week,0-4 hours,Action,Krunker,"Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,2,Something that fits the character.,Something that does not fit the character.,6,Yes,"Theyre great as long as its not just, lmao their gai. It has to be relevant otherwise, why mention it?","Im fine with anything in games/stories, as long as it makes sense, except when its just for fun, at that point they can do what ever they want."
04/01/2021 20:11:19,Female,Homosexual,27-35,USA,Several times a week,0-4 hours,Singleplayer RPGs,Fire Emblem: Three Houses; Final Fantasy Tactics; Fallout: New Vegas; Dragon Age: Origins,"Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,3,Variety of outfits among different characters to reflect different origins/personalities,Sexualization that doesn't fit the character's personality; excessive portrayals of masculinity; ,5,Yes,"Yes, in any way they appear there","For the appearance of sexual content, my view tends toward an approach of ""either do it or don't, but be consistent"". So, a game that doesn't really talk about sexuality much is fine, a game that heavily involves sexuality is fine, but I'm generally annoyed by something that has a lot of sexualized character designs but doesn't have anything in particular to do with that and it doesn't connect to the game's overall purpose or its setting.
Also, for LGBT characters, I'd note that while there doesn't have to be any sort of ""logical explanation"" (this is an absurd thing to say when we already exist and no justification is needed for cis straight people to be in a story), it is important for them to not be overly stereotyped or fetishized. I would also not say that I am ""okay with"" LGBT characters, but instead that I actively prefer them. For anything focused on romance or sexuality, it's necessary to me to have options reflecting my gender and sexuality for me to pursue that part of the game, and even in other games I enjoy seeing greater diversity.
For the 'explained logically' bit, I would add that I find it more common for games with an absence of LGBT characters or options reflecting those characters to be missing a logical explanation. You have some expansive open world and everyone in it is cis and straight? No. That wouldn't happen, and nobody benefits by pretending it would.
Fourth, it should also be noted that the presence of LGBT characters does not indicate a game has sexual themes any more than a straight romance that doesn't show sexual content would."
04/01/2021 20:11:51,Male,Heterosexual,16-20,Belgium,Several times a week,0-4 hours,Simulators,"Trucksims, Trainsims",Books(Non asian),Mostly positive,4,Realistic sexual aspects,"Extreme, cup EEEEE size or similar for other parts. ",6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:12:59,Male,Heterosexual,16-20,Philippines,Once- or twice a week,0-4 hours,Action,"Spellbreak, Hades, Nekopara Series, NinNinDays, Liliths Throne, Wolf Girl with You. ","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Music and Movie Hoarding and Archiving",Absolutely positive,7,Customization and Unrealistic Proportions ,Low options and variety,7,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",I personally don't like gay people in games but if they're just there because of press then its bad.
04/01/2021 20:14:47,Male,Heterosexual,Younger than 16,Brazil,Several times a week,0-4 hours,Rhythm Game,"Osu!, Rhythm Heaven, Zelda BOTW, Super Smash Brothers Ultimate, Minecraft","Anime, Manga, Japanese(Or similar) Light Novels, Games",Neutral,4,,,5,Maybe,"Yes, in any way they appear there",
04/01/2021 20:15:21,Male,i have no clue,16-20,USA,Once- or twice a week,5-8 hours,Singleplayer RPGs,Minecraft,"Films and TV series, Anime, Manga, LEGOS",Absolutely positive,5,realistic clothing,skin tight suits on females but not males its not very realistic,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",walter
04/01/2021 20:18:15,Prefer not to say,fictiosexual,21-26,india,Once- or twice a week,0-4 hours,"singleplayer RPGs, strategy, sandbox","skyrim, terraria, age of empires","Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels, reading in general & learning new skills",Absolutely positive,7,hourglass figure,too much realism,7,Yes,"Yes, in any way they appear there","freedom of artistic expression in entertainment media needs to be a fundamental right worldwide; freedom is a two-way road; censorship is also a two-way road; according to research from the world health organization, even individuals who are dying of hunger spend their capital on entertainment & this shows how important entertainment is for humans; artistic entertainment media is a basic need for humans & must never be censored; fiction & fantasy helps relieve stress & promote peace; it can be easily observed in data available from the united nations that countries with lower levels of censorship for artistic entertainment media have a considerably lower crime rate per capita & that's because societies with lower levels of stress produce considerably fewer criminals per capita; for example: britain versus japan; a minority among humans being ignorant is their own personal problem & not the responsibility of strangers; the majority of humans shouldn't be sacrificed to appease a minority made up of ignoramuses; any individual who wants to censor the hobbies of others needs to stop acting immature, nosy & authoritarian"
04/01/2021 20:21:06,Male,Heterosexual,21-26,Canada,Once- or twice a week,0-4 hours,Singleplayer RPGs,"Mass Effect 2, Persona 5","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,6,,,6,,"Yes, in any way they appear there",
04/01/2021 20:21:58,Male,Heterosexual,21-26,Ukraine,Several times a week,0-4 hours,Simulators,"Factorio, War Thunder (even though it fucking sucks), Starsector ","Books(Non asian), Films and TV series, Anime",Neutral,4,"Practicality, believability, how the design fits into the setting/universe/lore","Bikini armors (unless it's explained in-universe - see Kill la Kill), bland design (unless explained) ",5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:22:07,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Singleplayer RPGs,"Stardew valley, tabletop simulator, fallout new vegas","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Sports, biking, woodcrafts, etc.",Sometimes positive,5,"Beautiful characters, flirty jokes","One dimensional characters, sexual clothes that don’t fit the character type or personality",5,Yes,"Yes, in any way they appear there",
04/01/2021 20:22:29,Male,Heterosexual,27-35,USA,Every day,5-8 hours,Singleplayer RPGs,"Knights of the Old Republic, Stardew Valley, Red Dead Redemption 2","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime",Sometimes positive,3,,"Imbalanced character design that greatly emphasizes female sexuality without doing the same to male characters (e.g., impractical female armor that covers very little vs. fully covering male armor)",5,Yes,"Yes, in any way they appear there",
04/01/2021 20:22:37,Male,Bisexual,27-35,USA,Several times a week,0-4 hours,Singleplayer RPGs,Minecraft,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Neutral,3,"If there's sexualization in character designs, I like to see it done equally between genders and with a diversity of body type.",I'm generally very tired of the female characters who are clearly only designed to appeal to heterosexual men.,4,Yes,"Yes, in any way they appear there","I would like to see greater diversity of depictions of sexual content, and for players to have more of an ability to opt in or out of such content."
04/01/2021 20:23:22,Female,Heterosexual,16-20,Germany,Every day,13+ hours,A bit of everything ,My favourite game of all time Is Final fantasy IX (9). but the game that currently is my favourite is probablly League of legends ,"Anime, Music and art",Absolutely positive,4,tbh ngl Mommy designs ,When the design is like over the top. for example really like over the top tats,6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",I think that sexual topics in Video games are fine. and i don't mind it at all really but that's diff for every person.
04/01/2021 20:24:17,Male,Bisexual,16-20,America,Every day,5-8 hours,Co-op,"Overcooked 2, projected zomboid, dragon ball fighter z, rimworld",Programming,Neutral,2,"Uniqueness, being able to fit in to the design of the game/other characters and themes",,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:26:21,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,These are all so vague I don't know what kind of games they refer to.,"Dark Souls Series, Crusader Kings Series, Warframe","Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga",Sometimes positive,3,Unique and aesthetic features that reflect the character,Generic and forgettable design,4,Yes,"Yes, in any way they appear there",The majority of women in games having the same bodytype is boring and uninspired.
04/01/2021 20:27:04,Male,Heterosexual,16-20,Poland,Every day,0-4 hours,Multiplayer RPGs,"The Witcher 3, Cyberpunk 2077, Dead by Daylight","Films and TV series, Technology",Mostly positive,2,,,5,Yes,"Yes, in any way they appear there",
04/01/2021 20:30:51,Male,Homosexual,16-20,USA,Every day,5-8 hours,Singleplayer RPGs,"Divinity Original Sin 2, Skyrim","Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar)",Neutral,3,Character personality and complex motivation,"Having no motivation for the actions they are doing, being all-powerful",5,Maybe,Maybe/Neutral,
04/01/2021 20:31:55,Male,Heterosexual,21-26,Canada,Several times a week,0-4 hours,Action,Legend of Zelda: Twilight Princess,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,"Matching outfits, whether it be robes, dresses or armor",Bare-bone outfits where the character is basically naked if it were not for a thin line covering the genitals,4,Yes,"Yes, in any way they appear there","There's a line between a good-looking character and a sexualized one, I believe. A female character showing some cleavage and midriff or a shirtless man may not necessarily be considered sexualized depending on the context. And even in the cases we can consider them as such, that doesn't inherently make them bad characters either. Some stories are meant to tackle subjects like sexuality, and while it is obviously a mature topic, it has all rights to exist. 
Some designs however exist solely for basic titillation and as a crutch for not giving the characters actual personalities, only trying to show their ''assets'' at every opprtunity. Those I usually can't stand and would definitely call examples of oversexualized characters."
04/01/2021 20:33:23,Male,Heterosexual,27-35,USA,Every day,0-4 hours,Multiplayer RPGs,Elite Dangerous,"Books(Non asian), Films and TV series, Anime",Mostly positive,5,,,7,Yes,"Yes, in any way they appear there",
04/01/2021 20:35:28,Male,Heterosexual,16-20,USA,Several times a week,0-4 hours,Adventure,Fallout 3,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime",Mostly positive,6,Sexyness,,5,Maybe,"Yes, in any way they appear there",
04/01/2021 20:37:05,Male,Heterosexual,21-26,Canada,Every day,5-8 hours,Strategy,"Warframe, Total war Warhammer 2","Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,5,,,3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","Sex sells and people know that, cant really blame them for using it"
04/01/2021 20:37:39,Male,Heterosexual,16-20,the Netherlands,Every day,5-8 hours,Simulators,"Football Manager 2021, Overwatch, fifa 21","Tabletop games(just the basic ones), Films and TV series",Mostly negative,4,,,3,No,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:37:54,Male,Heterosexual,16-20,Ukraine,Every day,0-4 hours,Strategy,Celeste,"Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,5,,,6,,Maybe/Neutral,
04/01/2021 20:39:21,Male,Heterosexual,Younger than 16,Mexico,Several times a week,0-4 hours,Action,"Smash bros, terraria, hollow knight, persona 4","Books(Non asian), Tabletop games(just the basic ones), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,A good color pallet ,Too much appeal to the horny teens,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",No 
04/01/2021 20:41:22,Male,Heterosexual,Younger than 16,USA,Every day,5-8 hours,Adventure,Terraria,"Books(Non asian), Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,realistic-ness,nonsense,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",no
04/01/2021 20:43:20,Male,Heterosexual,16-20,USA,Several times a week,5-8 hours,Simulators,"Satisfactory, War Thunder","Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Sometimes negative,1,Realism,Female armor portrayed in media ,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","I don't mind the sexualization of characters if it has a meaning, like you were saying. However, it's way over-used and has become something producers/developers write in ""just because"" instead of giving it meaning in a story. I'm personally worried that producers/developers think that people wouldn't play the game if the characters weren't sexualized. Last minute after thought: I also noticed that mobile games are often worse than AAA games. This could be due to wanting to stand out against the crowd that is the mobile game industry."
04/01/2021 20:45:04,Male,Heterosexual,21-26,USA,Every day,5-8 hours,Singleplayer RPGs,"Persona 5, Dark Souls 1, Dark Souls 3","Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Absolutely positive,7,That their specific theme and personality fit the character design. ,None,7,Dont dislike it,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:45:29,Male,Asexual,21-26,USA,Every day,5-8 hours,Strategy,"Outward, Supreme Commander, Factorio","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Japanese(Or similar) Light Novels, Music (practice)",Neutral,4,"Mathematical precision, on the subject of this survey tasteful sexualization",Gawdy/vulgar designs,4,Yes,"Yes, in any way they appear there","Interactions of other characters with the sexualization, games have an opportunity to display what a healthy reaction to scantily clad people can be; namely (at least IMO) how to compliment someone's outfit/physique without coming across as creepy which is accomplished by *not* pairing that compliment with the desire to engage in physically intimate activities. "
04/01/2021 20:46:45,Female,Bisexual,16-20,USA,Several times a week,0-4 hours,Simulators,"The Sims 2, Sky: Children of the Light","Books(Non asian), Films and TV series",Mostly negative,1,"Likable, kind, good art style, memorable","Sexualized, objectified",2,No,"Yes, in any way they appear there",
04/01/2021 20:47:14,Female,Homosexual,More than 35,USA,Every day,5-8 hours,Simulators,"Kerbal Space Program, Stellaris, Rimworld, Minecraft","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Sometimes positive,3,,,5,Yes,"Yes, but only if portrayed accurately and respectfully",
04/01/2021 20:50:24,Female,Heterosexual,27-35,USA,Once- or twice a week,0-4 hours,Adventure,"Skyrim, Fallout","Gardening, Writing, Cooking",Neutral,4,"High definition graphics, rich color",Bad storyline ,5,Yes,Absolutely no,
